Reg	County	DOT ID	Route	Co Rd	Name	From	To	Co Ordr	Beg	End	Length	Muni Code	Muni Type	Municipality	Jurisdiction	FC	UAC	NHS	Overlap #	Olap rank	HPMS	SH No	Lanes	Pvmnt	Divided	One Way	Pkwy	Grouped	Svce Rd	Disc	Station	AADT	AADT Yr
4	MONROE	100422	I490			RT 31 MONROE AVE OVER W/ CONN	CULVER RD OVER WITH CONNECTIONS	2	23.01	23.55	0.54	2048	City	Rochester	01 NYSDOT	11	75664	1			3007375	58-2	6	O	Y						543	83400	2005
4	MONROE	100359	NY390			LEXINGTON AVE RAMP	TOWN OF GATES TOWN OF GREECE	1	1.4	1.6	0.2	316	Town	Gates	01 NYSDOT	12	75664	1			3008206	67-9	6	O	Y						122	83700	2002
4	MONROE	100359	NY390			TOWN OF GATES TOWN OF GREECE	CR 111 RIDGEWAY AVE OVER WITH CONNECTIONS	1	1.6	2.43	0.83	341	Town	Greece	01 NYSDOT	12	75664	1			3008206	67-9	6	O	Y						122	83700	2002
4	MONROE	100422	I490			RT 590I NB RAMP OVER		2	24.82	24.95	0.13	2048	City	Rochester	01 NYSDOT	11	75664	1			6934001	60-6	7	A	Y						654	84200	2004
4	MONROE	100422	I490				ROCHESTER CL / BRIGHTON TL	2	24.95	24.99	0.04	2048	City	Rochester	01 NYSDOT	11	75664	1				60-6	8	A	Y						654	84200	2004
4	MONROE	100422	I490			ROCHESTER CL / BRIGHTON TL	RAMPS FROM RT 590I SB	2	24.99	25.35	0.36	92	Town	Brighton	01 NYSDOT	11	75664	1				58-16	6	A	Y						654	84200	2004
4	MONROE	100422	I490			RAMPS AMES ST OVER WITH CONNECTIONS - EXIT 11	RAMPS CHILD ST OVER CONNECTIONS - EXIT 11	2	19.59	19.85	0.26	2048	City	Rochester	01 NYSDOT	11	75664	1				68-7	6	A	Y						154	84500	2005
4	MONROE	100422	I490			INNER LOOP & RT 15		2	21.84	21.95	0.11	2048	City	Rochester	01 NYSDOT	11	75664	1				71-7	6	O	Y						541	85000	2011
4	MONROE	100422	I490					2	21.95	22.38	0.43	2048	City	Rochester	01 NYSDOT	11	75664	1				58-2	8	O	Y						541	85000	2011
4	MONROE	100422	I490				MEIGS ST OVER NO CONN	2	22.38	22.41	0.03	2048	City	Rochester	01 NYSDOT	11	75664	1				58-2	6	O	Y						541	85000	2011
4	MONROE	100422	I490			MEIGS ST OVER NO CONN	GOODMAN ST OVER W/ CONN	2	22.41	22.55	0.14	2048	City	Rochester	01 NYSDOT	11	75664	1				58-2	6	O	Y						541	85000	2011
4	MONROE	100443	I590			RT 31	ALLEN CREEK RD UNDER NO CONN	1	2.78	2.92	0.14	92	Town	Brighton	01 NYSDOT	11	75664	1				65-12	6	O	Y						71	85400	2008
4	MONROE	100443	I590			ALLEN CREEK RD UNDER NO CONN		1	2.92	3.11	0.19	92	Town	Brighton	01 NYSDOT	11	75664	1				65-12	6	O	Y						71	85400	2008
4	MONROE	100443	I590				ELMWOOD AVE OVER NO CONNECTIONS	1	3.11	3.63	0.52	92	Town	Brighton	01 NYSDOT	11	75664	1				63-4	6	O	Y						71	85400	2008
4	MONROE	100444	NY590			CR 89 NORTON STREET OVER		1	3.4	3.51	0.11	419	Town	Irondequoit	01 NYSDOT	12	75664	1			2011076	56-7	6	O	Y						268	86100	2008
4	MONROE	100444	NY590				ACC RAMP TO RT 104  WB	1	3.51	3.9	0.39	419	Town	Irondequoit	01 NYSDOT	12	75664	1				56-7	4	O	Y						268	86100	2008
4	MONROE	100422	I490			GOODMAN ST OVER W/ CONN	RT 31 MONROE AVE OVER W/ CONN	2	22.55	23.01	0.46	2048	City	Rochester	01 NYSDOT	11	75664	1				58-2	6	O	Y						542	86900	2007
4	MONROE	100358	I390			RT 33A		3	17.76	18.35	0.59	316	Town	Gates	01 NYSDOT	11	75664	1			3007566	62-14	6	O	Y						11	87600	2007
4	MONROE	100358	I390				RT 33 OVER NO CONNS	3	18.35	18.66	0.31	316	Town	Gates	01 NYSDOT	11	75664	1				62-14	6	O	Y						11	87600	2007
4	MONROE	100358	I390			RT 33 OVER NO CONNS		3	18.66	18.7	0.04	316	Town	Gates	01 NYSDOT	11	75664	1				62-14	6	O	Y						11	87600	2007
